doy,content
2018-02-1,12
2018-02-2,8
2018-03-0,12
2018-03-1,12
2018-03-2,10
2018-03-3,6
2018-04-0,13
2018-04-1,15
2018-04-2,22
2018-05-0,11
2018-05-1,12
2018-05-2,12
2018-05-3,5
2018-06-0,8
2018-06-1,12
2018-06-2,10
2018-07-0,27
2018-07-1,20
2018-07-2,31
2018-07-3,5
2018-08-0,37
2018-08-1,25
2018-08-2,50
2018-08-3,5
2018-09-0,20
2018-09-1,37
2018-09-2,29
2018-09-3,3
2018-10-0,64
2018-10-1,99
2018-10-2,1
2018-10-3,4
2018-11-0,60
2018-11-1,111
2018-11-2,180
2018-11-3,17
2018-12-0,57
2018-12-1,47
2018-12-2,36
2018-12-3,2
2019-01-0,22
2019-01-1,43
2019-01-2,69
2019-01-3,12
2019-02-0,42
2019-02-1,77
2019-02-2,47
2019-03-0,51
2019-03-1,75
2019-03-2,57
2019-03-3,10
2019-04-0,23
2019-04-1,22
2019-04-2,50
2019-04-3,8
2019-05-0,24
2019-05-1,69
2019-05-2,42
2019-05-3,4
2019-06-0,40
2019-06-1,26
2019-06-2,58
2019-06-3,1
2019-07-0,46
2019-07-1,12
2019-07-2,71
2019-07-3,21
2019-08-0,48
2019-08-1,53
2019-08-2,55
2019-08-3,10
2019-09-0,52
2019-09-1,61
2019-09-2,146
2019-09-3,4
2019-10-0,60
2019-10-1,62
2019-10-2,63
2019-10-3,15
2019-11-0,79
2019-11-1,56
2019-11-2,15
2019-11-3,1
2019-12-0,17
2019-12-1,41
2019-12-2,57
2019-12-3,11
2020-01-0,92
2020-01-1,44
2020-01-2,64
2020-01-3,23
2020-02-0,38
2020-02-1,65
2020-02-2,65
2020-03-0,58
2020-03-1,45
2020-03-2,28
2020-03-3,2
2020-04-0,28
2020-04-1,10
2020-04-2,51
2020-04-3,2
2020-05-0,16
2020-05-1,15
2020-05-2,23
2020-05-3,5
2020-06-0,17
2020-06-1,15
2020-06-2,22
2020-06-3,1
2020-07-0,15
2020-07-1,16
2020-07-2,5
2020-07-3,2
2020-08-0,9
2020-08-1,12
2020-08-2,34
2020-08-3,6
2020-09-0,81
2020-09-1,120
2020-09-2,24
2020-09-3,56
2020-10-0,83
2020-10-1,30
2020-10-2,45
2020-10-3,3
2020-11-0,6
2020-11-1,34
2020-11-2,14
2020-11-3,2
2020-12-0,24
2020-12-1,9
2020-12-2,13
2021-01-0,6
2021-01-1,16
2021-01-2,12
2021-01-3,3
2021-02-0,10
2021-02-1,51
2021-02-2,34
2021-03-0,17
2021-03-1,23
2021-03-2,9
2021-03-3,3
2021-04-0,7
2021-04-1,13
2021-04-2,10
2021-05-0,13
2021-05-1,25
2021-05-2,27
2021-05-3,2
2021-06-0,13
2021-06-1,12
2021-06-2,15
2021-06-3,4
2021-07-0,21
2021-07-1,44
2021-07-2,48
2021-07-3,12
2021-08-0,20
2021-08-1,34
2021-08-2,30
2021-08-3,6
2021-09-0,24
2021-09-1,15
2021-09-2,28
2021-10-0,35
2021-10-1,19
2021-10-2,29
2021-10-3,7
2021-11-0,15
2021-11-1,26
2021-11-2,19
2021-12-0,13
2021-12-1,25
2021-12-2,13
2021-12-3,3
2022-01-0,14
2022-01-1,10
2022-01-2,14
2022-02-0,12
2022-02-1,14
2022-02-2,7
2022-03-0,12
2022-03-1,14
2022-03-2,17
2022-03-3,1
2022-04-0,24
2022-04-1,15
2022-04-2,34
2022-05-0,15
2022-05-1,15
2022-05-2,18
2022-05-3,3
2022-06-0,27
2022-06-1,56
2022-06-2,25
2022-06-3,20
2022-07-0,365
2022-07-1,759
